"CD_CNH","NM_CNH","IN_CNH_ATI","CD_AREA_CNH","CD_SUB_AREA_CNH"
100010000,ADMINISTRACAO DE EMPRESAS                         ,N,10,1
100010001,TEORIA GERAL DA ADMINISTRAÇÃO                     ,S,10,1
100010002,SISTEMA APOIO INTEGR. AS MICROS E PEQU. EMPRESAS  ,S,10,1
100010003,EMPREENDEDORISMO                                  ,S,10,1
100010004,GESTAO EMPRESARIAL                                ,S,10,1
100010005,GESTAO DO CONHECIMENTO                            ,S,10,1
100010006,APRENDIZAGEM ORGANIZACIONAL                       ,S,10,1
100010007,PROCESSOS DECISÓRIOS                              ,S,10,1
100010008,ADMINISTRAÇÃO INTEGRADA                           ,S,10,1
100010009,GESTAO EMPRESARIAL BASICO                         ,S,10,1
100010010,GESTAO EMPRESARIAL                                ,S,10,1
100010011,GESTAO EMPRESARIAL AVANCADO                       ,S,10,1
100010015,LICITACOES                                        ,S,10,1
100010016,LOGISTICA                                         ,S,10,1
100010017,FOLHA DE PAGAMENTO                                ,S,10,1
100010020,OSM                                               ,S,10,1
100010021,CONFORMIDADE E CONTROLES INTERNOS                 ,S,10,1
100010022,GESTãO DO SALDO DE CAIXA DAS DEPENDêNCIAS DO BANCO,S,10,1
100010024,GESTãO SERVIçOS GUARDA E SUPRIMENTO DE NUMERáRIO  ,S,10,1
100010035,CRONOANALISE                                      ,S,10,1
100010036,CONTROLES INTERNOS                                ,S,10,1
100010040,ATENDIMENTO BANCARIO                              ,S,10,1
100010041,ATENDIMENTO BANCARIO BASICO                       ,S,10,1
100010042,ATENDIMENTO BANCARIO                              ,S,10,1
100010043,ATENDIMENTO BANCARIO AVANCADO                     ,S,10,1
100010044,CONFORMIDADE E CONTROLES INTERNOS BASICO          ,S,10,1
100010045,CONFORMIDADE E CONTROLES INTERNOS                 ,S,10,1
100010046,CONFORMIDADE E CONTROLES INTERNOS AVANCADO        ,S,10,1
100010047,OUVIDORIA                                         ,S,10,1
100010048,ATENDIMENTO BANCARIO PF                           ,S,10,1
100010049,ATENDIMENTO BANCARIO PJ                           ,S,10,1
100010140,GESTÃO DE CONTRATOS                               ,S,10,1
100010201,PRÊMIO SOLUÇÕES LIDERA - 1º LUGAR                 ,S,10,1
100010202,PRÊMIO SOLUÇÕES LIDERA - 2º LUGAR                 ,S,10,1
