CD_FUC_FUN,NM_FUC_FUN
288,CAIXA EXECUTIVO
394,CAIXA EXECUTIVO
610,ESCRITURARIO
649,SAC-CONTINUO
674,SAC-VIGILANTE
678,SAD-AUX.S.SAUD
998,Q.S. LIC.SAUDE
999,EXTRA QUADRO
2621,BSC GER.AD.AGGP
2802,BSC ASS.ADM.I
2805,BSC ASS.ADM.II
2812,BSC TC.S.BAN.I
2816,BSC AN.ORG.MET.
2822,BSC TC.S.BAN.II
2830,BSC T.S.BAN.III
2831,BEP ESCRITURAR.
2832,BEP AUX.S.BANC.
2834,BEP CONTINUO
2835,BEP TC.BAN.DES.
2845,BEP RECEPCION.
4005,AUDITOR GERAL
4007,GER GERAL UE
4008,GER GERAL UE
4051,GER GERAL UA
4052,GER GERAL UA
4053,GER GERAL UA
4082,GER GERAL UA
4083,GER GERAL UA
4232,GER NEG DIGITAIS EXT
4236,GER TECNOLOGIA EXT
4237,GER ADJ TECNOL EXT
4238,GER AUDITORIA EXT
4239,GER ADJ AUDIT EXT
4248,GER GERAL UN
4249,GER GERAL UN
4250,GER GERAL UN
4253,GER GERAL UN
4255,GER GERAL UN
4256,GER GERAL UN
4262,GER GERAL UN
4263,GER GERAL UN
4269,GER GERAL UN
4270,GER GERAL UN
4322,GEREN SEGURANCA EXT
4323,GER GERAL UN EXT
4324,GER GERAL UN EXT
4609,GER ADJ UN EXT
4687,GER RELACIONAMENTO
4688,GER RELACIONAMENTO
4689,GER SERVICOS
4690,GER SERVICOS
4695,GER RELACIONAMENTO
4700,GER MODULO
4705,GER RELACIONAMENTO
4805,ANALISTA A UA
4807,AN.JUR.A UA
4808,ANALISTA FIN.UA
4830,ANALISTA CR
4860,ANALISTA B UA
4862,AN.JUR.B UA
4935,ASSIST.A UA
4940,ASSIST.A UN
4942,ASSIST.A UN
4960,ASSIST.B UA
4961,ASSIST.B UA
4965,ASSIST.B UN
4980,GER SEGMENTO
5638,BNC CAIXA PRE
5641,BNC AUX ADMIN
5700,BNC AUX SER GER
5822,INC GER SEG UN
5838,INC CAIXA PRE
6000,AUX ENF TRAB
6001,ENFERM TRAB
6002,MEDICO TRAB
6003,TEC SEG TRAB
6004,ENG SEG TRAB
