"CD_AREA_CNH","CD_SUB_AREA_CNH","NM_SUB_AREA_CNH","IN_SUB_AREA_ATI"
10,1,ADMINISTRACAO DE EMPRESAS                                                       ,S
10,20,ADM. - COMERCIO EXTERIOR                                                        ,S
10,21,ADM. - FINANCAS INTERNACIONAIS                                                  ,S
10,60,ADM. FINANCEIRA                                                                 ,S
10,80,ADMINISTRACAO HOSPITALAR                                                        ,S
10,90,ADM. - INFORMACAO                                                               ,S
10,100,ADM. - RECURSOS HUMANOS                                                         ,S
10,110,ADM.- GESTAO AMBIENTAL (DRS&RSA)                                                ,S
10,115,ADMINISTRACAO DO TERCEIRO SETOR                                                 ,S
10,120,ADM.- RURAL                                                                     ,S
10,130,AGRICULTURA                                                                     ,S
10,140,ADM.- RECURSOS MATERIAIS                                                        ,S
10,160,ADM. - PUBLICA                                                                  ,S
10,170,ADM - CREDITO IMOBILIARIO                                                       ,S
10,200,ADM.- MARKETING                                                                 ,S
10,240,ADMINISTRACAO - QUALIDADE                                                       ,S
10,260,ADM. - PROJETOS                                                                 ,S
10,270,ADM - GESTAO DE PROCESSOS                                                       ,S
10,280,ADM. - ESTRATEGICA                                                              ,S
10,300,ADM. - SEGURANCA                                                                ,S
10,310,ADM. - SISTEMAS DE INFORMACAO                                                   ,S
10,320,ADM. POSTAL                                                                     ,S
10,330,ADM - AUDITORIA                                                                 ,S
10,340,FORMACAO DE EXECUTIVOS                                                          ,S
10,350,ADM.ANALISE DE SISTEMAS                                                         ,S
10,360,ASCENSÃO PROFISSIONAL                                                           ,S
10,370,GOVERNANCA CORPORATIVA                                                          ,S
10,380,ADM. - GESTAO DE OBRAS                                                          ,S
10,390,ADM. - GESTAO CONTABIL                                                          ,S
10,400,ADM. - IMOBILIARIO                                                              ,S
10,401,NEGÓCIOS                                                                        ,S
11,1,ARQUIVOLOGIA                                                                    ,S
11,2,ARQUITETURA E URBANISMO                                                         ,S
11,3,BIBLIOTECONOMIA                                                                 ,S
11,4,DESENHO INDUSTRIAL                                                              ,S
11,5,ECONOMIA DOMESTICA                                                              ,S
11,6,MUSEOLOGIA                                                                      ,S
11,7,SECRETARIADO EXECUTIVO                                                          ,S
11,8,SERVICO SOCIAL                                                                  ,S
11,9,TURISMO E HOTELARIA                                                             ,S
11,11,TECNOLOGIA SOCIAL                                                               ,S
11,12,MEIO AMBIENTE                                                                   ,S
20,1,ARTES                                                                           ,S
20,2,FOTOGRAFIA                                                                      ,S
20,20,TEATRO                                                                          ,S
20,30,GRAFICAS                                                                        ,S
20,60,MUSICA                                                                          ,S
20,80,ARTES PLASTICAS                                                                 ,S
20,90,DANCA                                                                           ,S
25,10,CIENCIA DA INFORMACAO                                                           ,S
25,30,INTELIGENCIA COMPETITIVA - IC                                                   ,S
30,1,CONTABILIDADE GERAL                                                             ,S
30,4,CONTABILIDADE FISCAL                                                            ,S
30,5,CONTABILIDADE GERENCIAL                                                         ,S
30,6,CONTABILIDADE INTERNACIONAL                                                     ,S
30,10,CONTABILIDADE PUBLICA                                                           ,S
30,20,ANALISE DE BALANCO                                                              ,S
30,30,CONTABILIDADE DE CUSTO                                                          ,S
30,40,AUDITORIA E PERICIA CONTABIL                                                    ,S
30,50,CONTABILIDADE DE INSTITUICOES FINANCEIRAS                                       ,S
30,80,CONTROLADORIA                                                                   ,S
35,1,CIENCIAS ATUARIAIS                                                              ,S
35,2,SEGUROS                                                                         ,S
35,3,PREVIDENCIA                                                                     ,S
40,20,BIOLOGIA GERAL                                                                  ,S
40,30,BIOMEDICINA                                                                     ,S
40,40,BOTANICA                                                                        ,S
40,60,ECOLOGIA                                                                        ,S
40,70,MEIO AMBIENTE                                                                   ,S
40,100,FISIOLOGIA                                                                      ,S
50,1,CIENCIAS HUMANAS                                                                ,S
50,10,ARQUEOLOGIA                                                                     ,S
50,20,FILOSOFIA                                                                       ,S
50,30,ANTROPOLOGIA                                                                    ,S
50,40,HISTORIA                                                                        ,S
50,50,CIENCIA POLITICA                                                                ,S
50,60,CIENCIAS SOCIAIS                                                                ,S
50,70,ESTUDOS SOCIAIS                                                                 ,S
50,100,TEOLOGIA                                                                        ,S
50,110,GEOGRAFIA                                                                       ,S
50,120,RELACOES INTERNACIONAIS                                                         ,S
50,130,SOCIOLOGIA                                                                      ,S
50,140,DESENVOLVIMENTO SUSTENTAVEL                                                     ,S
55,1,LETRAS E LINGUISTICA                                                            ,S
55,10,LINGUA LATINA                                                                   ,S
55,20,LINGUA ALEMA                                                                    ,S
55,40,LINGUA CHINESA                                                                  ,S
55,50,LINGUA DINAMARQUESA                                                             ,S
55,60,LINGUA ESPANHOLA                                                                ,S
55,80,LINGUA FRANCESA                                                                 ,S
55,100,LINGUA INGLESA                                                                  ,S
55,120,LINGUA ITALIANA                                                                 ,S
55,140,LINGUA JAPONESA                                                                 ,S
55,160,PORTUGUES E LITERATURA                                                          ,S
55,180,LINGUA RUSSA                                                                    ,S
55,200,LINGUA ARABE                                                                    ,S
55,240,LINGUA GREGA                                                                    ,S
55,260,LINGUA HEBRAICA                                                                 ,S
55,280,LINGUA HOLANDESA                                                                ,S
55,300,LINGUA POLONESA                                                                 ,S
55,320,LINGUA ARMENIA                                                                  ,S
55,330,LINGUA ISLANDESA                                                                ,S
70,1,COMUNICACAO                                                                     ,S
70,2,RETORICA ORATORIA                                                               ,S
70,20,CINEMATOGRAFIA                                                                  ,S
70,40,COMUNICACAO VISUAL                                                              ,S
70,50,COMUNICACAO DIGITAL E MIDIAS SOCIAIS                                            ,S
70,80,JORNALISMO                                                                      ,S
70,120,PRODUCAO EDITORIAL                                                              ,S
70,130,PRODUCAO PUBLICITARIA                                                           ,S
70,140,PUBLICIDADE E PROPAGANDA                                                        ,S
70,160,RADIO E TELEVISAO                                                               ,S
70,180,RELACOES PUBLICAS                                                               ,S
90,1,DIREITO                                                                         ,S
90,20,DIREITO ADMINISTRATIVO                                                          ,S
90,30,DIREITO BANCARIO                                                                ,S
90,40,DIREITO CIVIL                                                                   ,S
90,60,DIREITO COMERCIAL                                                               ,S
90,80,DIREITO CONSTITUCIONAL                                                          ,S
90,90,DIREITO DA ECONOMIA E DA EMPRESA                                                ,S
90,100,DIREITO DO TRABALHO E PREVIDENCIARIO                                            ,S
90,120,DIREITO ESTATAL                                                                 ,S
90,140,DIREITO TRIBUTARIO                                                              ,S
90,160,DIREITO INTERNACIONAL                                                           ,S
90,180,DIREITO PENAL                                                                   ,S
90,200,DIREITO POLITICO                                                                ,S
90,220,DIREITO PRIVADO                                                                 ,S
90,240,DIREITO PROCESSUAL                                                              ,S
90,260,DIREITO PUBLICO                                                                 ,S
90,280,DIREITO AMBIENTAL                                                               ,S
90,300,DIREITO IMOBILIARIO                                                             ,S
100,1,ECONOMIA                                                                        ,S
100,20,ECONOMIA APLICADA                                                               ,S
100,50,ECONOMIA INTERNACIONAL                                                          ,S
100,60,ECONOMIA DO SETOR PUBLICO                                                       ,S
100,70,ECONOMIA MONETARIA E FISCAL                                                     ,S
100,80,ECONOMIA INDUSTRIAL E DA TECNOLOGIA                                             ,S
100,100,ECONOMIA AGRICOLA E RURAL                                                       ,S
100,110,ECONOMIA REGIONAL E URBANA                                                      ,S
110,1,EDUCACAO                                                                        ,S
110,40,PEDAGOGIA                                                                       ,S
110,50,MAGISTERIO - ENSINO FUNDAMENTAL                                                 ,S
120,1,ENGENHARIA                                                                      ,S
120,40,ENGENHARIA DE AVALIACOES                                                        ,S
120,60,ENGENHARIA AEROESPACIAL                                                         ,S
120,100,ENGENHARIA CIVIL                                                                ,S
120,110,ENGENHARIA DA COMPUTACAO                                                        ,S
120,113,ENGENHARIA DE CONTROLE E AUTOMACAO                                              ,S
120,115,ENGENHARIA DE SOFTWARE                                                          ,S
120,180,"ENGENHARIA DE PRODUCAO, INDUSTRIA E OPERACOES                                   ",S
120,190,"ENGENHARIA DE PRODUCAO, RECURSOS HUMANOS                                        ",S
120,220,ENGENHARIA ELETRICA                                                             ,S
120,240,ENGENHARIA ELETRONICA                                                           ,S
120,280,ENGENHARIA MECANICA                                                             ,S
