"CD_TIP_VCL","CD_NTZ_TIP_VCL","CD_CTGR_TIP_VCL","CD_IOR","NM_TIP_VCL","TX_DCR_TIP_VCL"
99,2,9,1,UOR VINCULADORA                                   ,                                                                                                                                                                                                        
100,3,3,1,UOR ABSORVEDORA                                   ,                                                                                                                                                                                                        
101,3,3,1,UOR GRUPO                                         ,                                                                                                                                                                                                        
1010,1,3,1,SUPER JURISDICIONANTE                             ,                                                                                                                                                                                                        
1020,1,3,1,SUPER COMERCIAL/GERENCIA REGIONAL                 ,PERMITE VERIFICAR QUAL SUPER COMERCIAL (VAREJO)   OU SUPER REGIONAL EMPRESARIAL (ATACADO) OU GEREC  (RECUPERAÇÃO DE CRÉDITO E COBRANÇA) A UNIDADE ESTÁVINCULADA.                                        
1030,1,7,1,CENOP OPERACOES                                   ,                                                                                                                                                                                                        
1040,1,2,1,REDE GECOR                                        ,ROTA PARA AGRUPAR PREFIXOS/UOR DE UN ESPECIALIZADOEM UMA UOR DE TIPOLOGIA 105-COMITE DE REDE PARA   FORMAÇÃO DE REDE GECOR                                                                              
1060,1,5,1,ALMOX                                             ,INFORMA O ALMOX QUE ATENDERA A UNIDADE                                                                                                                                                                  
1070,1,4,1,GECEX JURISDICIONANTE                             ,                                                                                                                                                                                                        
1090,1,5,1,COMPRAS CONTRATACOES PATRIMONIO                   ,                                                                                                                                                                                                        
1100,1,7,1,SERVICOS ESPECIALIZADOS                           ,                                                                                                                                                                                                        
1110,1,8,1,TELEMATICA                                        ,                                                                                                                                                                                                        
1120,1,6,1,GECOR                                             ,DIRAO/GERENCIA DE REESTRUTURACAO DE ATIVOS  OPERA-CIONAIS                                                                                                                                               
1130,1,6,1,AUDIT REGIONAL                                    ,INFORMA A GA/AUDIT QUE ATENDERA A UNIDADE                                                                                                                                                               
1140,1,6,1,ORGAOS JURIDICOS                                  ,                                                                                                                                                                                                        
1150,1,7,1,CENOP PSV                                         ,INDICA O PSV QUE ATENDE A UNIDADE                                                                                                                                                                       
1170,1,3,1,AGENCIA ESTILO                                    ,                                                                                                                                                                                                        
1180,1,7,1,PSO PLATAFORMA DE SOLUCOES                        ,INDICA QUAL PSO ATENDE A UNIDADE                                                                                                                                                                        
1190,1,6,1,GESIN                                             ,                                                                                                                                                                                                        
1200,1,3,1,SUBORDINANTE HIERARQUICA                          ,                                                                                                                                                                                                        
1210,1,6,1,GENAC                                             ,                                                                                                                                                                                                        
1220,2,9,1,VICE-PRESIDENCIA                                  ,                                                                                                                                                                                                        
1230,1,7,1,CMA MONITORACAO TAA                               ,                                                                                                                                                                                                        
1260,1,3,1,GERAG                                             ,                                                                                                                                                                                                        
1280,1,7,1,PSO MODULO SOP                                    ,INDICA QUAL SOP ATENDE A UNIDADE                                                                                                                                                                        
1300,1,3,1,TRANSACAO 80000 DO ACESSO                         ,TRANSACAO 80000 DO ACESSO                                                                                                                                                                               
1310,1,3,1,REDE DE CONTROLE-VIZINHA                          ,                                                                                                                                                                                                        
1320,1,3,1,REDE DE CONTROLE-DEMAIS                           ,                                                                                                                                                                                                        
1400,1,7,1,EXECUTANTE PROAGRO                                ,                                                                                                                                                                                                        
1410,1,5,1,EXEC.COBRANCA TERCEIRIZADA                        ,                                                                                                                                                                                                        
1420,1,5,1,SERVICOS LOGISTICOS                               ,                                                                                                                                                                                                        
1430,1,5,1,CESUP PROCESSAMENTO                               ,                                                                                                                                                                                                        
1440,1,5,1,CESUP AVALIACAO                                   ,INFORMA O CENTRO QUE ATENDERA A UNIDADE PARA      ATIVIDADES DE AVALIACAO DE IMOVEIS                                                                                                                    
1450,1,4,1,CAMBIO CERTIF. ORIGEM FORM A                      ,CAMBIO CERTIFICADO DE ORIGEM - FORM A                                                                                                                                                                   
1460,1,3,1,AGENCIA LATERAL                                   ,INDICA A AGENCIA LATERAL QUE ATENDERA A UNIDADE                                                                                                                                                         
1500,1,7,1,CENOP PROCESSAMENTO                               ,                                                                                                                                                                                                        
1510,1,5,1,EXECUTANTE ARH                                    ,                                                                                                                                                                                                        
1520,1,6,1,GEPES REGIONAL                                    ,DIPES/GERENCIA REGIONAL DE GESTAO DE PESSOAS                                                                                                                                                            
1530,1,3,1,CENTRALIZADORA PROCESSAMENTO                      ,                                                                                                                                                                                                        
1560,1,3,1,SIRC                                              ,                                                                                                                                                                                                        
1600,1,3,1,SINDICATO                                         ,                                                                                                                                                                                                        
2010,3,3,1,CENTRALIZADORA CONTABIL                           ,                                                                                                                                                                                                        
2040,1,3,1,RESPONSAVEL ARH                                   ,                                                                                                                                                                                                        
2050,1,4,1,CAMBIO CENTR. TRONCO                              ,CAMBIO CENTRALIZADOR TRONCO                                                                                                                                                                             
2060,1,4,1,CAMBIO NEGOCIADORA                                ,CAMBIO NEGOCIOADORA - JURISDICAO                                                                                                                                                                        
2070,1,4,1,CAMBIO FLUTUANTE                                  ,CAMBIO FLUTUANTE - JURISDICAO                                                                                                                                                                           
2090,1,7,1,SUPRIDORA DE NUMERARIO                            ,                                                                                                                                                                                                        
2100,1,4,1,CAMBIO EXECUTORA                                  ,CAMBIO EXECUTORA - JURISDICAO                                                                                                                                                                           
2110,1,4,1,CAMBIO CENTR. PF                                  ,CAMBIO CENTRALIZADOR PESSOA FISICA                                                                                                                                                                      
2120,1,4,1,CAMBIO APOIO NEGOCIAL                             ,CAMBIO APOIO NEGOCIAL                                                                                                                                                                                   
2500,1,6,1,GECOI                                             ,                                                                                                                                                                                                        
2510,1,6,1,GECOI COMERCIAL                                   ,                                                                                                                                                                                                        
2600,1,7,1,CENOP REDE PSV                                    ,INDICA A REDE PSV QUE ATENDE A UNIDADE                                                                                                                                                                  
2610,1,7,1,CENTRO DE SERVICOS NO EXTERIOR                    ,                                                                                                                                                                                                        
2620,1,3,1,CSA - CENTRO SERVICOS ATACADO                     ,CENTRO DE SERVIçOS ATACADO - CSA.                 POSSIBILITA IDENTIFICAR AS AGêNCIAS QUE SãO       JURISDICIONADAS A UM DETERMINADO CSA.                                                               
2621,2,9,61308,ORGAO EXTERNO - HIERARQUIA                        ,JURISDIÇÃO DE HIERARQUIA DA TIPOLOGIA IOR.                                                                                                                                                              
2622,2,9,61309,DIRETORIA PRESIDENCIA - HIERARQUIA                ,JURISDIÇÃO DE HIERARQUIA DA TIPOLOGIA IOR.                                                                                                                                                              
2623,2,9,61310,ORGAO EXTERNO - HIERARQUIA                        ,JURISDIÇÃO DE HIERARQUIA DA TIPOLOGIA IOR.                                                                                                                                                              
2624,2,9,1,CENOP - HIERARQUIA                                ,JURISDIÇÃO DE HIERARQUIA DA TIPOLOGIA IOR.                                                                                                                                                              
2625,2,9,1,PLATAFORMA CESUP CENOP - HIERARQUIA               ,JURISDIÇÃO DE HIERARQUIA DA TIPOLOGIA IOR.                                                                                                                                                              
2626,1,7,1,SERVICOS CONTABEIS                                ,CRIAçãO DA JURISDIçãO CFE SOLICITAçãO VIA COLAB   PROJETO IMSO - ALTERAçõES DE DADOS JURISDIçõES DE 03.10.2012 E EM ATENDIMENTO A NT 2012/0634 - REORGANIZAçãO DA REDE DINOP.                           
2627,1,7,1,SERVICOS JUDICIAIS                                ,CRIAçãO DA JURISDIçãO CFE SOLICITAçãO VIA COLAB   PROJETO IMSO - ALTERAçõES DE DADOS JURISDIçõES DE 03.10.2012 E EM ATENDIMENTO A NT 2012/0634 - REORGANIZAçãO DA REDE DINOP.                           
