CD_UOR_VCLD;CD_TIP_VCL;CD_UOR_VCLR;NR_ITVL_NVL_HRQO
9598;99;4924;
9598;101;9598;
9598;1060;38047;
9598;1090;7638;
9598;1100;1993;
9598;1110;5491;
9598;1130;5032;
9598;1140;5111;
9598;1200;9598;
9598;1220;4924;1
9598;1420;7636;
9598;1430;7635;
9598;1440;44126;
9598;1500;1993;
9598;1510;37565;
9598;1520;40075;
9598;1530;1993;
9598;1600;487;
9598;2040;37565;
9598;2500;6125;
9598;2628;38038;
9598;2663;9598;
9598;2795;38038;
9598;2796;39364;
9598;2806;39237;
9598;2817;4165;
9598;2819;38038;
9598;2935;79824;
9598;3079;40128;
9598;3131;43761;
9598;3144;48632;
9598;3163;43846;
9598;3164;43847;
9598;3214;44130;
9598;3233;44396;
9598;9002;6147;
9598;9003;6148;
9598;9029;38787;
9598;9198;46973;4
9598;9199;4922;3
9598;9202;4910;2
51461;99;9598;
51461;101;9598;
51461;1090;7635;
51461;1100;1993;
51461;1110;5491;
51461;1130;7529;
51461;1200;9598;
51461;1220;4924;2
51461;1420;7635;
51461;1430;7635;
51461;1440;44126;
51461;1510;37565;
51461;1520;40075;
51461;1530;1993;
51461;2040;37565;
51461;2628;7635;
51461;2795;7635;
51461;2819;7635;
51461;3144;48632;
51461;9191;9598;1
51461;9198;46973;5
51461;9199;4922;4
51461;9202;4910;3
54414;99;9598;
54414;100;9598;
54414;101;9598;
54414;1010;5074;
54414;1090;7635;
54414;1100;1993;
54414;1110;5491;
54414;1130;7529;
54414;1200;9598;
54414;1220;7660;2
54414;1420;7635;
54414;1430;7635;
54414;1440;44126;
54414;1500;7635;
54414;1510;37565;
54414;1520;5517;
54414;1530;1993;
54414;2010;9598;
54414;2040;37565;
54414;9191;9598;1
54414;9198;46973;5
54414;9199;4922;4
54414;9202;4910;3
56844;99;9598;
56844;100;9598;
56844;101;9598;
56844;1090;7635;
56844;1100;1993;
56844;1110;5491;
56844;1130;7529;
56844;1200;9598;
56844;1220;7660;2
56844;1420;7635;
56844;1430;7635;
56844;1440;44126;
56844;1500;7635;
56844;1510;37565;
56844;1520;5517;
56844;1530;1993;
56844;2010;9598;
56844;2040;37565;
56844;9191;9598;1
56844;9198;46973;5
56844;9199;4922;4
56844;9202;4910;3
58927;99;9598;
58927;101;9598;
58927;1090;7635;
58927;1100;1993;
58927;1110;5491;
58927;1130;7529;
58927;1200;9598;
58927;1220;4924;2
58927;1420;7635;
58927;1430;7635;
58927;1440;44126;
58927;1510;37565;
58927;1520;40075;
58927;1530;1993;
58927;2040;37565;
58927;2628;7635;
58927;2795;7635;
58927;2819;7635;
58927;3144;48632;
58927;9191;9598;1
58927;9198;46973;5
58927;9199;4922;4
58927;9202;4910;3
60713;99;9598;
60713;101;9598;
60713;1090;7635;
60713;1100;1993;
60713;1110;5491;
60713;1130;7529;
60713;1200;9598;
60713;1220;4924;2
60713;1420;7635;
60713;1430;7635;
60713;1440;44126;
60713;1510;37565;
60713;1520;40075;
60713;1530;1993;
60713;2040;37565;
60713;2628;7635;
60713;2795;7635;
60713;2819;7635;
60713;3144;48632;
60713;9191;9598;1
60713;9198;46973;5
60713;9199;4922;4
60713;9202;4910;3
62224;99;9598;
62224;101;9598;
62224;1090;7635;
62224;1100;1993;
62224;1110;5491;
62224;1130;7529;
62224;1200;9598;
62224;1220;4924;2
62224;1420;7635;
62224;1430;7635;
62224;1440;44126;
62224;1510;37565;
62224;1520;40075;
62224;1530;1993;
62224;2040;37565;
62224;2628;7635;
62224;2795;7635;
62224;2819;7635;
62224;3144;48632;
62224;9191;9598;1
62224;9198;46973;5
62224;9199;4922;4
62224;9202;4910;3
63858;99;9598;
63858;101;9598;
63858;1090;7635;
63858;1100;1993;
63858;1110;5491;
63858;1130;7529;
63858;1200;9598;
63858;1220;4924;2
63858;1420;7635;
63858;1430;7635;
63858;1440;44126;
63858;1510;37565;
63858;1520;40075;
63858;1530;1993;
63858;2040;37565;
63858;2628;7635;
63858;2795;7635;
63858;2819;7635;
63858;3144;48632;
63858;9191;9598;1
63858;9198;46973;5
63858;9199;4922;4
63858;9202;4910;3
64994;99;63858;
64994;101;9598;
64994;1090;7635;
64994;1100;1993;
64994;1110;5491;
64994;1130;7529;
64994;1200;9598;
64994;1220;4924;3
64994;1420;7635;
64994;1430;7635;
64994;1440;44126;
64994;1510;37565;
64994;1520;40075;
64994;1530;1993;
64994;2040;37565;
64994;2628;7635;
64994;2795;7635;
64994;2819;7635;
64994;3144;48632;
64994;9191;9598;2
64994;9193;63858;1
64994;9198;46973;6
64994;9199;4922;5
64994;9202;4910;4
66028;99;63858;
66028;101;9598;
66028;1090;7635;
66028;1100;1993;
66028;1110;5491;
66028;1130;7529;
66028;1200;9598;
66028;1220;4924;3
66028;1420;7635;
66028;1430;7635;
66028;1440;44126;
