Código Educa,Título,Etapa
11296,ÉTICA E BOAS PRÁTICAS DE RELACIONAMENTO,ASG
9733,Princípios de ESG,ASG
9734,Empresas ESG na prática,ASG
9735,Regulação ESG,ASG
9736,Liderança ESG,ASG
10425,DIVERSIDADE COM LILIANE R,ASG
10566,DIVERSIDADE - DJAMILA RIB,ASG
9337,JCC-CONECTANDO NA PRATICA - BLOCO 2,Negócios
9508,JCC CONECTANDO PRATICA - BLOCO 3,Negócios
10647,ECONOMIA COMPORTAMENTAL,Negócios
10747,CIENCIA DA VENDA BB,Negócios
202574,CUSTOMER SUCCESS: CULTURA CENTRADA NO CLIENTE,Negócios
11119,Playbook de Vendas: Capitalização,Negócios
11120,Playbook de Vendas: Consórcio,Negócios
11121,Playbook de Vendas: Previdência,Negócios
11122,Playbook de Vendas: Seguro pra Vida,Negócios
11123,Playbook de Vendas: Seguro Prestamista,Negócios
8529,Videoaula Assessoria Financeira,Negócios
8530,Videoaula Instrumentos Financeiros,Negócios
8531,Videoaula Fundos de Investimentos,Negócios
10008,Agro do Futuro,Negócios
8184,Empreendedorismo,Negócios
11343,"Pacotes de serviços - conceitos, atendimento e suitability.",Negócios
11387,ECBB 2024-2028,Liderança
11235,Liderança Para a Alta Performance,Liderança
11363,Liderando com Vulnerabilidade,Liderança
10727,"SEGURANÇA PSICOLÓGICA - O PAPEL DO BOARD PARA A CONSTRUÇÃO DE UMA EMPRESA
SAUDÁVEL",Liderança
11093,"EXPERIÊNCIA DO FUNCIONÁRIO: COMO A ALTA LIDERANÇA PODE CONTRIBUIR PARA A
MELHORIA DA JORNADA DO FUNCIONÁRIO",Liderança
7918,LIDERANCA FEMININA 2A ED,Liderança
9410,LIDERANCA INCLUSIVA,Liderança
10272,LIDERANCAS INSPIRADORAS,Liderança
203312,Mindset Digital: técnicas e habilidades para liderança remota,Liderança
200707,FEEDBACK: A ARTE DE ORIEN,Liderança
203322,Liderança: aprendendo sobre a missão e propósito de liderar pessoas,Liderança
201648,LIDERANCA AMBIDESTRA: BUS,Liderança
201830,PSICOLOGIA POSITIVA: LIDE,Liderança
6892,Mentoria BB,Liderança
8503,Webinar sobre Mentoria - Teoria,Liderança
8504,Webinar sobre Mentoria - Práticas,Liderança
10808,Aceleração Digital BB,Transformação Digital
10583,Transformação Figital,Transformação Digital
202441,Transformação Digital: pilares culturais,Transformação Digital
201091,A Empresa Ágil: implemente o Business Agility nas organizações,Transformação Digital
202661,Transformação Digital: inicie a implementação do movimento,Transformação Digital
202566,Transformação Digital: cultura de experimentação,Transformação Digital
202541,Gestão de mudanças: uma visão comportamental,Transformação Digital
201824,OKR: construindo metas ágeis,Transformação Digital
202042,OKR: direcionando seu negócio para resultados,Transformação Digital
201088,Gerenciamento de inovação organizacional parte 1: técnicas de ideação,Transformação Digital
201153,Gerenciamento de inovação organizacional parte 2: aplicações práticas,Transformação Digital
10202,Sapiencia CAOS - Blockchain para todos,Transformação Digital
10214,Sapiencia CAOS - Sim! Você precisa saber sobre Inteligência Artifical,Transformação Digital
203167,Inteligência Artificial e UX: otimize a construção de um produto digital,Transformação Digital
203160,ChatGPT: desvendando a IA em conversas e suas aplicações,Transformação Digital
202954,Power BI Desktop: construindo meu primeiro dashboard,Transformação Digital
201220,SQL com MySQL: manipule e consulte dados,Transformação Digital
201221,Consultas SQL: avançando no SQL com MySQL,Transformação Digital
201909,UX: entenda a experiência de usuário,Transformação Digital
201718,UX: metodologias práticas para designers,Transformação Digital
202384,UX Writing: escrevendo textos para usuários,Transformação Digital
203078,UX Writing: projetando um chatbot,Transformação Digital
202525,Estratégia Omnichannel: aumentando suas vendas,Transformação Digital
202716,User Interface: conceitos de UI para Product Designers,Transformação Digital
202696,Jornada do cliente: aplique estratégias de engajamento no dia a dia,Transformação Digital
202704,Design da proposta de valor: transformando produtos e serviços,Transformação Digital
202337,Product Manager: uma jornada em gestão de produto,Transformação Digital
7636,Introdução à Segurança Cibernética do Banco do Brasil,Transformação Digital
203559,CyBBer em Foco,Transformação Digital
202518,Pentest: explorando vulnerabilidades em aplicações web,Transformação Digital
202698,"Segurança de rede: firewall, WAF e SIEM",Transformação Digital
201709,OWASP: padrão de verificação de segurança de aplicações,Transformação Digital
201109,Data Science: analise e visualização de dados,Transformação Digital
202922,Python para Data Science: primeiros passos,Transformação Digital
202923,"Python para Data Science: funções, estruturas de dados e exceções",Transformação Digital
201177,Estatística com Python: frequências e medidas,Transformação Digital
202273,Spark: apresentando a ferramenta,Transformação Digital
201128,Machine Learning: intro a sistemas de recomendação em Python,Transformação Digital
201080,Machine Learning parte 1: otimização de modelos através de hiperparâmetros,Transformação Digital
201103,Machine Learning parte 2: otimização com exploração aleatória,Transformação Digital
201799,Árvores de Decisão: aprofundando em modelos de Machine Learning,Transformação Digital
202423,Modelos preditivos em dados: detecção de fraude,Transformação Digital
202191,TypeScript parte 2: avançando na linguagem,Transformação Digital
202192,Typescript parte 3: mais técnicas e boas práticas,Transformação Digital
202307,React Native: utilizando e criando Hooks,Transformação Digital
202435,React Native: criando testes para sua aplicação,Transformação Digital
202392,React: integrando seu projeto React com APIs,Transformação Digital
202479,React: otimizando a performance,Transformação Digital
202858,Java: criando a sua primeira aplicação,Transformação Digital
201629,Integração Contínua: mais qualidade e menos risco no desenvolvimento,Transformação Digital
