COD;NOME_LOCAL;COD_LOCAL;NIVEL
7840;RIO;1;S
7850;MANAUS;2;S
7855;PRESIDENTE VARGAS;3;S
7860;SANTOS;4;S
7870;CAMPOS GOYTACAZES;5;S
7875;SALVADOR;6;S
7880;RECIFE;7;S
7885;ESC SETOR PUBLICO CE;8;S
7905;PRACA TIRADENTES-PR;9;S
7910;EMPRESA PORTO ALEGRE;10;S
7915;EMPRESA JOAO PESSOA;11;S
7920;TRES CORACOES;12;S
7925;MACEIO;13;S
7930;CORUMBA;14;S
7935;UBERABA;15;S
7940;FLORIANOPOLIS;16;S
7950;SAO PAULO;18;S
7955;ILHEUS;19;S
7960;SAO LUIS;20;S
7965;EMPRESA VITORIA;21;S
7975;EMPRESA NATAL;22;S
7980;PARNAIBA;23;S
7985;EMPRESA JUIZ DE FORA;24;S
7995;CATAGUASES;25;S
8000;CARANGOLA;26;S
8005;JAU;27;S
8010;RIBEIRAO PRETO;28;S
8015;EMPRESA LITORAL SUL;29;S
8035;PONTA GROSSA;30;S
8040;BARRETOS;31;S
8045;VARGINHA;32;S
8050;BELO HORIZONTE;33;S
8055;BAGE;34;S
8060;SANTANA LIVRAMENTO;35;S
8065;MOSSORO;36;S
8070;EMPRESA BAURU;37;S
8075;JOINVILLE;38;S
8080;CAMOCIM;39;S
8085;SAO FELIX;40;S
8090;FEIRA DE SANTANA;41;S
8095;CACHOEIRA DO SUL;42;S
8100;IPAMERI;43;S
8105;TERESINA;44;S
8110;URUGUAIANA;45;S
8115;EMPRESA CUIABA;46;S
8120;ABATIA;47;S
8125;AFONSO PENA;48;S
8130;PENEDO;49;S
8135;CATANDUVA;50;S
8140;MACAE;51;S
8145;EMPRESA CAMPINAS;52;S
8155;FRANCA;53;S
8160;BEBEDOURO;54;S
8165;CHAVANTES;55;S
8170;PIRACICABA;56;S
8175;SAO JOSE RIO PRETO;57;S
8180;LINS;58;S
8185;SANTO AMARO;59;S
8190;JEQUIE;60;S
8195;TEOFILO OTONI;61;S
8200;BARBACENA;62;S
8205;EMPRESA CAMP.GRANDE;63;S
8215;GUAXUPE;64;S
8220;SAO JOAO BOA VISTA;65;S
8225;SAO JOSE RIO PARDO;66;S
8230;GARANHUNS;67;S
8235;ARCOVERDE;68;S
8240;JUAZEIRO;69;S
8245;ITABUNA;70;S
8250;EMPRESA RIO BRANCO;71;S
8255;NITEROI;72;S
8260;BARRA DO PIRAI;73;S
8265;ITAPERUNA;74;S
8270;ACARI;75;S
8275;TAUBATE;76;S
8280;PIRAJU;77;S
8285;PONTA PORA;78;S
8290;BOTUCATU;79;S
8295;PETROPOLIS;80;S
8300;NOVA IGUACU;81;S
8305;ARARAQUARA;82;S
8310;CACHOEIRO ITAPEMIRIM;83;S
8320;SOBRAL;85;S
8325;ESC SETOR PUBLICO GO;86;S
8335;CATETE;87;S
8340;PONTE NOVA;88;S
8345;CAXIAS DO SUL;89;S
8350;ARAGUARI;90;S
8355;MADUREIRA;91;S
8360;EMPRESA PASSO FUNDO;92;S
8385;BANDEIRA;93;S
8390;CRATO;94;S
8395;EMPRESA BLUMENAU;95;S
8410;FLORIANO;96;S
8415;PRESIDENTE PRUDENTE;97;S
8420;UBERLANDIA;98;S
8430;CAJAZEIRAS;99;S
8435;JACAREZINHO;100;S
8440;MEIER;101;S
8445;PORTO VELHO;102;S
8450;CURVELO;103;S
8455;MONTES CLAROS;104;S
8460;PARAGUACU PAULISTA;105;S
8465;CAMPO MAIOR;106;S
8470;CANTAGALO-RJ;107;S
8475;CALCADAO;108;S
8480;MUNDO NOVO-BA;109;S
8485;VICOSA;110;S
8490;MIRASSOL;111;S
8495;COLATINA;112;S
8500;SANTO ANASTACIO;113;S
8505;CAFELANDIA;114;S
8510;PALMARES;115;S
8515;ACREUNA;116;S
8520;PROPRIA;117;S
8525;ORLANDIA;118;S
8530;NOVO HORIZONTE;119;S
8535;UNIAO DOS PALMARES;120;S
8540;ARACATI;121;S
8545;IGUATU;122;S
8550;AQUIDAUANA;123;S
8555;CAXIAS;124;S
8560;PIRAPORA;125;S
8565;SANTA MARIA;126;S
8570;CAMPO GRANDE-RJ;127;S
8575;CAICO;128;S
8580;PIRIPIRI;129;S
8585;SANTAREM;130;S
8590;RESENDE;131;S
8595;ERECHIM;132;S
8600;TUPA;133;S
8605;MATAO;134;S
8610;JACOBINA;135;S
8615;PALMEIRA DOS INDIOS;136;S
8620;JOACABA;137;S
8625;SANTO ANGELO;138;S
8630;LAJEADO;139;S
8635;FOZ DO IGUACU;140;S
8640;MARILIA;141;S
8650;CANAVIEIRAS;143;S
8655;ALEGRETE;144;S
8660;MONTE APRAZIVEL;145;S
8665;NOVA GRANADA;146;S
8670;JAGUARAO;147;S
8675;PROMISSAO;148;S
8680;ESTANCIA;149;S
8685;CABO FRIO;150;S
8690;PATOS;151;S
8695;ARACUAI;152;S
8700;SAO GABRIEL;153;S
8705;RIBEIRAO BONITO;154;S
8710;BOM JESUS ITABAPOANA;155;S
8715;ITUVERAVA;156;S
8720;ASSUNCAO PARAGUAI;157;S
8725;ALAGOINHAS;158;S
8730;CARUARU;159;S
8735;PIRAJUI;160;S
8745;SAO JOAO DEL REI;162;S
8750;PIRASSUNUNGA;163;S
8755;ITABAIANA-PB;164;S
8760;OLIMPIA;165;S
8765;GOVERNADOR VALADARES;166;S
8770;BRAGANCA PAULISTA;167;S
8775;ALFENAS;168;S
8780;QUARAI;169;S
8785;VACARIA;170;S
8790;ITAPIRA;171;S
8795;RIO CLARO;172;S
8800;BOA ESPERANCA;173;S
8805;BICAS;174;S
8810;SAO JOSE DOS CAMPOS;175;S
8815;CAMPO BELO-MG;176;S
8820;CARATINGA;177;S
8825;VALPARAISO;178;S
8830;ARACATUBA;179;S
8845;SANTA CRUZ DO SUL;180;S
8850;BENTO GONCALVES;181;S
8855;IRATI;182;S
8860;EMPRESA RIO CENTRO;183;S
8865;CACERES;184;S
8870;SAO LEOPOLDO;185;S
8875;MIMOSO DO SUL;186;S
8880;SAO BORJA;187;S
8885;VITORIA DA CONQUISTA;188;S
8890;PEDERNEIRAS;189;S
8895;PATOS DE MINAS;190;S
8900;EMPRESA SOROCABA;191;S
8910;CAMAQUA;192;S
8915;CRUZ ALTA;193;S
8920;PASSOS;194;S
8925;DOM PEDRITO;195;S
8930;AGRESTINA;196;S
8935;AGUA BRANCA-AL;197;S
8940;BARIRI;198;S
8945;ITAPETININGA;199;S
8950;GUARABIRA;200;S
8955;TUBARAO;201;S
8960;CARLOS CHAGAS;202;S
8965;AVARE;203;S
8970;ITUIUTABA;204;S
8975;OURO FINO;205;S
8980;MAFRA;206;S
8985;AGUA DOCE;207;S
8990;TRES LAGOAS;208;S
8995;SANTA TERESA;209;S
9000;ARAXA;210;S
9005;MARACAJU;211;S
9010;FORMIGA;212;S
9015;PEDRA AZUL;213;S
9020;ASSU;214;S
9025;AIMORES;215;S
9030;LIMEIRA;216;S
9035;UNIAO DA VITORIA;217;S
